id_paiement,id_commande,montant_paye,mode_paiement,date_paiement,statut_paiement
PAY00581,CMD00581,16000.0,Carte bancaire,2026-01-07 00:54:00,Valide
PAY00317,CMD00317,756200.0,Especes a la livraison,2025-05-04 23:07:00,Valide
PAY00502,CMD00502,49500.0,Virement,2025-09-01 21:59:00,Echoue
PAY00199,CMD00199,149000.0,Mobile Money,2026-01-02 04:17:00,Valide
PAY00702,CMD90002,258800.0,Especes a la livraison,2025-03-19 09:33:00,Valide
PAY00296,CMD00296,84600.0,Especes a la livraison,2025-12-17 16:10:00,Valide
PAY00145,CMD00145,266200.0,Virement,2025-06-26 02:51:00,Valide
PAY00169,CMD00169,622500.0,Virement,2025-08-15 02:16:00,Rembourse
PAY00137,CMD00137,328400.0,Mobile Money,2025-03-26 15:44:00,Valide
PAY00193,CMD00193,379700.0,Carte bancaire,2025-07-01 08:21:00,Valide
PAY00045,CMD00045,48000.0,Carte bancaire,2025-06-24 20:26:00,Valide
PAY00324,CMD00324,188300.0,Especes a la livraison,2025-06-23 18:20:00,Valide
PAY00151,CMD00151,351800.0,Especes a la livraison,2025-11-01 14:09:00,Rembourse
PAY00577,CMD00577,157800.0,Especes a la livraison,2025-07-01 16:17:00,Valide
PAY00234,CMD00234,21700.0,Especes a la livraison,2025-08-05 10:52:00,Valide
PAY00352,CMD00352,74000.0,Mobile Money,2025-07-24 08:44:00,Valide
PAY00706,CMD90006,153300.0,Virement,2026-02-03 22:49:00,Echoue
PAY00128,CMD00128,67800.0,Mobile Money,2026-01-11 01:02:00,Valide
PAY00052,CMD00052,73000.0,Virement,2025-06-30 00:34:00,Echoue
PAY00682,CMD00682,167300.0,Mobile Money,2025-08-25 09:15:00,Valide
PAY00493,CMD00493,678800.0,Virement,2025-12-26 10:21:00,Valide
PAY00394,CMD00394,128300.0,Carte bancaire,2025-11-23 00:46:00,Valide
PAY00694,CMD00694,87400.0,Carte bancaire,2025-10-15 11:48:00,Valide
PAY00612,CMD00612,512200.0,Carte bancaire,2025-08-10 00:01:00,Valide
PAY00677,CMD00677,160900.0,Carte bancaire,2025-11-04 04:24:00,Valide
PAY00011,CMD00011,106500.0,Carte bancaire,2025-11-09 12:48:00,Valide
PAY00618,CMD00618,337000.0,Virement,2025-06-10 09:46:00,Rembourse
PAY00412,CMD00412,301100.0,Virement,2025-10-12 13:41:00,Valide
PAY00609,CMD00609,571200.0,Virement,2025-10-06 23:11:00,Valide
PAY00441,CMD00441,33200.0,Virement,2025-09-13 20:37:00,Valide
PAY00575,CMD00575,392800.0,Carte bancaire,2025-11-18 15:43:00,Valide
PAY00116,CMD00116,413600.0,Especes a la livraison,2025-12-12 21:14:00,Valide
PAY00112,CMD00112,657200.0,Mobile Money,2025-10-29 09:06:00,Valide
PAY00610,CMD00610,818000.0,Especes a la livraison,2025-08-31 15:11:00,Valide
PAY00236,CMD00236,1597700.0,Carte bancaire,2025-08-16 03:22:00,Valide
PAY00672,CMD00672,445600.0,Especes a la livraison,2025-07-26 16:12:00,Echoue
PAY00400,CMD00400,315600.0,Carte bancaire,2025-05-27 01:17:00,Valide
PAY00650,CMD00650,-64100.0,Especes a la livraison,2025-11-29 11:31:00,Rembourse
PAY00290,CMD00290,27800.0,Especes a la livraison,2025-03-06 21:57:00,Valide
PAY00526,CMD00526,96600.0,Mobile Money,2025-08-13 10:17:00,Valide
PAY00336,CMD00336,143200.0,Especes a la livraison,2025-10-21 23:07:00,Echoue
PAY00252,CMD00252,1677300.0,Carte bancaire,2025-01-29 17:07:00,Valide
PAY00295,CMD00295,115200.0,Mobile Money,2025-06-21 15:15:00,Valide
PAY00201,CMD00201,377300.0,Mobile Money,2025-04-07 21:34:00,Rembourse
PAY00670,CMD00670,102500.0,Especes a la livraison,2025-05-14 04:08:00,Rembourse
PAY00584,CMD00584,67800.0,Virement,2025-07-07 09:19:00,Valide
PAY00109,CMD00109,1141600.0,Carte bancaire,2025-05-30 01:43:00,Valide
PAY00337,CMD00337,113000.0,Mobile Money,2025-02-13 13:31:00,Valide
PAY00542,CMD00542,816200.0,Carte bancaire,2025-05-04 13:47:00,Valide
PAY00322,CMD00322,1261200.0,Mobile Money,2025-10-31 04:09:00,Valide
PAY00347,CMD00347,102200.0,Carte bancaire,2025-09-18 22:33:00,Valide
PAY00320,CMD00320,127700.0,Carte bancaire,2025-05-04 11:37:00,Echoue
PAY00095,CMD00095,206900.0,Especes a la livraison,2025-12-20 06:25:00,Valide
PAY00603,CMD00603,163600.0,Virement,2025-05-27 08:34:00,Valide
PAY00115,CMD00115,26800.0,Especes a la livraison,2025-07-08 13:25:00,Valide
PAY00673,CMD00673,110500.0,Mobile Money,2026-01-07 04:32:00,Valide
PAY00157,CMD00157,886100.0,Virement,2025-04-27 20:27:00,Valide
PAY00250,CMD00250,1261200.0,Mobile Money,2025-04-23 19:43:00,Valide
PAY00019,CMD00019,82600.0,Especes a la livraison,2025-07-23 05:25:00,Valide
PAY00645,CMD00645,55000.0,Carte bancaire,2025-07-26 05:05:00,Valide
PAY00217,CMD00217,173000.0,Especes a la livraison,2025-12-13 01:52:00,Valide
PAY00570,CMD00570,320500.0,Virement,2025-11-23 00:11:00,Rembourse
PAY00158,CMD00158,107600.0,Mobile Money,2025-10-31 22:17:00,Valide
PAY00487,CMD00487,205000.0,Mobile Money,2025-11-12 12:58:00,Valide
PAY00536,CMD00536,211100.0,Carte bancaire,2025-06-08 12:46:00,Valide
PAY00417,CMD00417,25300.0,Especes a la livraison,2025-09-21 14:47:00,Valide
PAY00506,CMD00506,964600.0,Especes a la livraison,2025-06-21 06:07:00,Valide
PAY00197,CMD00197,877800.0,Mobile Money,2025-11-11 21:13:00,Valide
PAY00134,CMD00134,941300.0,Carte bancaire,2025-07-15 00:24:00,Valide
PAY00530,CMD00530,709600.0,Especes a la livraison,2025-12-11 05:34:00,Echoue
PAY00266,CMD00266,65900.0,Especes a la livraison,2025-10-15 02:02:00,Valide
PAY00141,CMD00141,433600.0,Virement,2025-09-30 00:05:00,Valide
PAY00379,CMD00379,112800.0,Mobile Money,2025-05-02 11:19:00,Valide
PAY00445,CMD00445,203600.0,Mobile Money,2025-07-22 05:37:00,Valide
PAY00136,CMD00136,120400.0,Carte bancaire,2025-09-08 15:02:00,Valide
PAY00436,CMD00436,188300.0,Virement,2025-05-29 23:07:00,Valide
PAY00098,CMD00098,64100.0,Especes a la livraison,2025-09-10 03:50:00,Echoue
PAY00580,CMD00580,102500.0,Carte bancaire,2025-11-09 11:30:00,Valide
PAY00697,CMD00697,-97200.0,Mobile Money,2025-09-22 16:01:00,Valide
PAY00367,CMD00367,684600.0,Carte bancaire,2025-08-24 10:23:00,Echoue
PAY00276,CMD00276,132700.0,Carte bancaire,2025-08-14 17:01:00,Valide
PAY00354,CMD00354,190600.0,Especes a la livraison,2025-09-09 03:15:00,Echoue
PAY00066,CMD00066,589000.0,Carte bancaire,2025-11-11 14:32:00,Rembourse
PAY00391,CMD00391,51100.0,Carte bancaire,2025-06-11 07:51:00,Valide
PAY00004,CMD00004,693700.0,Mobile Money,2025-10-10 18:51:00,Echoue
PAY00392,CMD00392,1045200.0,Mobile Money,2025-08-24 06:01:00,Valide
PAY00628,CMD00628,188300.0,Virement,2025-08-22 20:18:00,Valide
PAY00453,CMD00453,219500.0,Especes a la livraison,2025-08-28 20:37:00,Valide
PAY00242,CMD00242,89400.0,Especes a la livraison,2025-08-02 04:21:00,Valide
PAY00422,CMD00422,2556600.0,Especes a la livraison,2025-08-22 04:26:00,Valide
PAY00656,CMD00656,142600.0,Virement,2025-03-08 21:15:00,Valide
PAY00579,CMD00579,91800.0,Carte bancaire,2025-04-12 20:10:00,Rembourse
PAY00708,CMD90008,630600.0,Carte bancaire,2026-01-22 04:14:00,Valide
PAY00107,CMD00107,866000.0,Virement,2025-12-31 09:03:00,Valide
PAY00623,CMD00623,323200.0,Virement,2025-05-06 16:47:00,Valide
PAY00437,CMD00437,753200.0,Especes a la livraison,2026-01-14 09:52:00,Valide
PAY00550,CMD00550,1660200.0,Mobile Money,2025-07-15 09:43:00,Valide
PAY00160,CMD00160,84400.0,Especes a la livraison,2025-08-31 15:06:00,Valide
PAY00030,CMD00030,26800.0,Especes a la livraison,2025-04-11 01:03:00,Valide
PAY00531,CMD00531,630600.0,Mobile Money,2025-10-15 21:18:00,Valide
PAY00041,CMD00041,540600.0,Mobile Money,2025-11-13 00:00:00,Rembourse
PAY00078,CMD00078,261700.0,Especes a la livraison,2025-09-11 08:32:00,Valide
PAY00034,CMD00034,185200.0,Especes a la livraison,2025-03-31 23:08:00,Valide
PAY00588,CMD00588,1001700.0,Virement,2025-08-29 20:28:00,Valide
PAY00113,CMD00113,188300.0,Especes a la livraison,2025-07-06 20:38:00,Valide
PAY00358,CMD00358,277600.0,Mobile Money,2025-07-25 16:49:00,Valide
PAY00100,CMD00100,55000.0,Especes a la livraison,2025-07-02 04:14:00,Valide
PAY00053,CMD00053,141000.0,Virement,2025-07-24 08:55:00,Valide
PAY00510,CMD00510,369000.0,Carte bancaire,2026-01-05 02:05:00,Valide
PAY00253,CMD00253,159600.0,Especes a la livraison,2025-06-23 20:48:00,Valide
PAY00567,CMD00567,157800.0,Virement,2025-03-30 15:32:00,Rembourse
PAY00099,CMD00099,420800.0,Carte bancaire,2025-08-19 14:35:00,Valide
PAY00264,CMD00264,920900.0,Carte bancaire,2025-11-08 05:09:00,Valide
PAY00077,CMD00077,122600.0,Virement,2025-10-10 22:10:00,Echoue
PAY00698,CMD00698,71300.0,Carte bancaire,2025-07-20 16:09:00,Valide
PAY00556,CMD00556,101800.0,Especes a la livraison,2025-05-02 01:32:00,Valide
PAY00106,CMD00106,120400.0,Carte bancaire,2025-07-01 01:38:00,Valide
PAY00220,CMD00220,2680200.0,Virement,2025-10-12 00:09:00,Rembourse
PAY00003,CMD00003,376600.0,Virement,2025-07-06 19:20:00,Valide
PAY00564,CMD00564,203600.0,Especes a la livraison,2025-12-21 20:49:00,Valide
PAY00072,CMD00072,91100.0,Mobile Money,2025-05-02 23:59:00,Valide
PAY00380,CMD00380,113900.0,Carte bancaire,2025-05-30 22:16:00,Rembourse
PAY00307,CMD00307,1111000.0,Especes a la livraison,2025-01-22 16:05:00,Valide
PAY00429,CMD00429,912800.0,Virement,2025-06-25 18:21:00,Valide
PAY00455,CMD00455,564900.0,Virement,2025-08-13 10:46:00,Echoue
PAY00341,CMD00341,79300.0,Virement,2025-03-18 03:06:00,Valide
PAY00559,CMD00559,303900.0,Virement,2025-09-02 21:51:00,Valide
PAY00040,CMD00040,409200.0,Mobile Money,2026-01-11 10:23:00,Valide
PAY00629,CMD00629,169200.0,Mobile Money,2025-12-26 16:11:00,Rembourse
PAY00196,CMD00196,799800.0,Carte bancaire,2026-01-22 09:14:00,Valide
PAY00216,CMD00216,307800.0,Virement,2025-11-15 02:17:00,Valide
PAY00589,CMD00589,108000.0,Virement,2025-09-26 00:49:00,Valide
PAY00454,CMD00454,157800.0,Mobile Money,2025-09-10 20:12:00,Valide
PAY00209,CMD00209,101100.0,Virement,2025-01-23 22:25:00,Valide
PAY00632,CMD00632,32000.0,Especes a la livraison,2025-08-13 19:28:00,Valide
PAY00277,CMD00277,62700.0,Especes a la livraison,2025-08-02 09:58:00,Echoue
PAY00373,CMD00373,796800.0,Carte bancaire,2025-05-13 16:29:00,Valide
PAY00465,CMD00465,350100.0,Especes a la livraison,2025-09-10 12:47:00,Valide
PAY00223,CMD00223,153300.0,Virement,2025-10-29 13:24:00,Valide
PAY00676,CMD00676,360600.0,Carte bancaire,2025-02-04 12:39:00,Echoue
PAY00652,CMD00652,400200.0,Mobile Money,2025-12-15 09:51:00,Valide
PAY00243,CMD00243,221500.0,Mobile Money,2025-03-28 10:42:00,Valide
PAY00596,CMD00596,170600.0,Mobile Money,2025-07-13 03:12:00,Valide
PAY00353,CMD00353,494800.0,Carte bancaire,2025-06-14 13:56:00,Valide
PAY00069,CMD00069,281100.0,Carte bancaire,2026-01-12 21:22:00,Valide
PAY00221,CMD00221,347000.0,Mobile Money,2025-09-22 16:28:00,Valide
PAY00287,CMD00287,174800.0,Carte bancaire,2025-04-25 03:03:00,Valide
PAY00292,CMD00292,1411000.0,Carte bancaire,2025-12-04 20:58:00,Valide
PAY00194,CMD00194,319600.0,Mobile Money,2025-09-21 08:48:00,Valide
PAY00613,CMD00613,172200.0,Mobile Money,2025-07-23 08:52:00,Rembourse
PAY00548,CMD00548,591100.0,Mobile Money,2025-02-05 11:39:00,Valide
PAY00509,CMD00509,220000.0,Mobile Money,2025-07-02 07:49:00,Valide
PAY00582,CMD00582,219500.0,Carte bancaire,2025-08-04 18:12:00,Valide
PAY00247,CMD00247,26800.0,Carte bancaire,2025-10-30 11:25:00,Valide
PAY00477,CMD00477,188300.0,Virement,2025-08-03 07:32:00,Valide
PAY00241,CMD00241,323200.0,Especes a la livraison,2026-01-14 07:12:00,Valide
PAY00070,CMD00070,83200.0,Especes a la livraison,2025-12-08 16:04:00,Echoue
PAY00207,CMD00207,847900.0,Virement,2025-09-13 18:20:00,Echoue
PAY00442,CMD00442,27800.0,Especes a la livraison,2025-09-18 21:21:00,Valide
PAY00282,CMD00282,691600.0,Virement,2025-03-21 11:33:00,Valide
PAY00068,CMD00068,23600.0,Mobile Money,2025-06-11 03:03:00,Rembourse
PAY00342,CMD00342,103000.0,Mobile Money,2025-10-07 10:13:00,Rembourse
PAY00640,CMD00640,218800.0,Virement,2025-05-03 13:14:00,Valide
PAY00462,CMD00462,66400.0,Carte bancaire,2025-08-22 04:54:00,Valide
PAY00335,CMD00335,90600.0,Virement,2025-01-30 18:11:00,Valide
PAY00624,CMD00624,567500.0,Virement,2025-10-10 12:09:00,Valide
PAY00648,CMD00648,65700.0,Carte bancaire,2025-12-04 07:52:00,Valide
PAY00470,CMD00470,802900.0,Especes a la livraison,2025-09-15 13:16:00,Valide
PAY00162,CMD00162,101100.0,Virement,2025-11-01 21:50:00,Echoue
PAY00143,CMD00143,120400.0,Especes a la livraison,2025-10-04 10:41:00,Rembourse
PAY00332,CMD00332,327200.0,Virement,2025-11-05 15:41:00,Valide
PAY00314,CMD00314,173700.0,Virement,2026-01-20 21:28:00,Valide
PAY00637,CMD00637,55000.0,Virement,2025-04-25 16:19:00,Rembourse
PAY00265,CMD00265,91400.0,Carte bancaire,2025-04-20 10:26:00,Echoue
PAY00288,CMD00288,87400.0,Virement,2025-11-11 04:44:00,Valide
PAY00406,CMD00406,157800.0,Especes a la livraison,2025-09-28 11:48:00,Valide
PAY00591,CMD00591,473400.0,Especes a la livraison,2026-01-15 04:23:00,Rembourse
PAY00363,CMD00363,807800.0,Carte bancaire,2025-06-12 18:28:00,Valide
PAY00387,CMD00387,219500.0,Virement,2025-07-14 10:51:00,Valide
PAY00318,CMD00318,627200.0,Carte bancaire,2025-09-28 17:26:00,Valide
PAY00321,CMD00321,1523500.0,Virement,2025-03-07 05:38:00,Rembourse
PAY00009,CMD00009,3153000.0,Virement,2025-03-09 04:46:00,Valide
PAY00498,CMD00498,463600.0,Carte bancaire,2025-09-17 17:28:00,Valide
PAY00409,CMD00409,276600.0,Especes a la livraison,2025-07-09 08:48:00,Valide
PAY00031,CMD00031,101100.0,Virement,2025-03-07 17:55:00,Valide
PAY00443,CMD00443,119700.0,Mobile Money,2025-04-01 03:24:00,Valide
PAY00094,CMD00094,449800.0,Mobile Money,2025-04-01 15:19:00,Valide
PAY00187,CMD00187,75900.0,Mobile Money,2025-09-20 20:02:00,Valide
PAY00426,CMD00426,467500.0,Mobile Money,2025-09-06 20:21:00,Valide
PAY00617,CMD00617,258100.0,Carte bancaire,2025-03-20 22:35:00,Valide
PAY00449,CMD00449,404200.0,Especes a la livraison,2025-11-23 06:10:00,Echoue
PAY00238,CMD00238,172000.0,Carte bancaire,2025-02-24 22:06:00,Valide
PAY00586,CMD00586,146400.0,Especes a la livraison,2025-10-22 16:20:00,Valide
PAY00666,CMD00666,36300.0,Virement,2025-10-09 08:38:00,Valide
PAY00627,CMD00627,75400.0,Virement,2025-02-19 09:25:00,Echoue
PAY00008,CMD00008,259600.0,Especes a la livraison,2025-09-12 00:44:00,Valide
PAY00180,CMD00180,40500.0,Virement,2025-05-14 07:16:00,Valide
PAY00607,CMD00607,213100.0,Mobile Money,2025-02-21 17:59:00,Valide
PAY00565,CMD00565,1042900.0,Mobile Money,2025-11-30 12:32:00,Valide
PAY00274,CMD00274,966500.0,Especes a la livraison,2025-06-22 04:22:00,Valide
PAY00364,CMD00364,669100.0,Especes a la livraison,2025-12-20 11:48:00,Valide
PAY00148,CMD00148,774900.0,Carte bancaire,2025-06-29 06:22:00,Valide
PAY00434,CMD00434,131400.0,Carte bancaire,2025-09-02 20:49:00,Echoue
PAY00284,CMD00284,711400.0,Mobile Money,2025-12-25 20:38:00,Valide
PAY00707,CMD90007,158400.0,Mobile Money,2025-07-02 10:12:00,Echoue
PAY00205,CMD00205,47200.0,Virement,2025-05-31 21:17:00,Valide
PAY00323,CMD00323,744200.0,Mobile Money,2025-12-08 00:29:00,Valide
PAY00357,CMD00357,220100.0,Especes a la livraison,2025-11-14 03:52:00,Rembourse
PAY00228,CMD00228,188300.0,Mobile Money,2025-06-19 14:55:00,Valide
PAY00046,CMD00046,553200.0,Carte bancaire,2025-08-03 20:40:00,Valide
PAY00397,CMD00397,25400.0,Mobile Money,2025-12-23 12:01:00,Valide
PAY00108,CMD00108,163600.0,Especes a la livraison,2025-04-17 12:23:00,Valide
PAY00440,CMD00440,445400.0,Virement,2025-12-23 00:59:00,Valide
PAY00514,CMD00514,454200.0,Carte bancaire,2025-01-14 09:29:00,Valide
PAY00293,CMD00293,101100.0,Virement,2025-03-25 13:35:00,Valide
PAY00600,CMD00600,33200.0,Mobile Money,2025-07-04 12:18:00,Valide
PAY00371,CMD00371,918400.0,Mobile Money,2025-08-18 01:24:00,Valide
PAY00368,CMD00368,246200.0,Carte bancaire,2025-11-20 03:31:00,Rembourse
PAY90002,CMD80002,101100.0,Virement,2025-11-01 21:50:00,Echoue
PAY00489,CMD00489,556200.0,Especes a la livraison,2025-08-21 14:28:00,Valide
PAY00215,CMD00215,85200.0,Mobile Money,2025-10-06 10:49:00,Valide
PAY00418,CMD00418,375800.0,Virement,2025-12-01 07:53:00,Valide
PAY00119,CMD00119,216000.0,Virement,2025-06-08 06:04:00,Valide
PAY00414,CMD00414,1377400.0,Mobile Money,2026-01-18 16:07:00,Valide
PAY00130,CMD00130,662800.0,Carte bancaire,2025-11-11 04:14:00,Valide
PAY00457,CMD00457,27800.0,Especes a la livraison,2025-11-18 03:29:00,Valide
PAY90004,CMD80004,87400.0,Carte bancaire,2025-08-05 09:03:00,Echoue
PAY00519,CMD00519,146400.0,Carte bancaire,2025-05-21 13:55:00,Valide
PAY00189,CMD00189,157800.0,Mobile Money,2025-12-03 13:27:00,Valide
PAY00351,CMD00351,41800.0,Mobile Money,2026-01-11 13:37:00,Rembourse
PAY00338,CMD00338,2696400.0,Virement,2025-08-15 14:42:00,Valide
PAY00235,CMD00235,76000.0,Carte bancaire,2025-02-17 22:07:00,Valide
PAY00415,CMD00415,194100.0,Especes a la livraison,2025-07-06 14:43:00,Valide
PAY00126,CMD00126,97200.0,Mobile Money,2025-08-29 10:18:00,Valide
PAY00330,CMD00330,630600.0,Mobile Money,2025-09-06 09:41:00,Rembourse
PAY00661,CMD00661,168400.0,Carte bancaire,2025-11-05 13:31:00,Valide
PAY00359,CMD00359,206000.0,Carte bancaire,2025-07-24 05:06:00,Echoue
PAY00171,CMD00171,156800.0,Carte bancaire,2025-10-07 16:21:00,Valide
PAY00540,CMD00540,146400.0,Carte bancaire,2025-11-23 10:02:00,Rembourse
PAY00013,CMD00013,8000.0,Mobile Money,2025-02-09 20:51:00,Valide
PAY00482,CMD00482,197400.0,Especes a la livraison,2025-06-29 15:51:00,Valide
PAY00114,CMD00114,209100.0,Mobile Money,2025-11-24 21:31:00,Valide
PAY00028,CMD00028,1323200.0,Especes a la livraison,2025-01-29 02:05:00,Rembourse
PAY00188,CMD00188,279200.0,Mobile Money,2025-07-20 13:18:00,Valide
PAY00299,CMD00299,139000.0,Especes a la livraison,2025-10-27 17:29:00,Valide
PAY00163,CMD00163,50600.0,Virement,2025-06-01 01:36:00,Valide
PAY00398,CMD00398,109200.0,Especes a la livraison,2025-06-21 14:53:00,Valide
PAY00523,CMD00523,126800.0,Carte bancaire,2025-03-27 07:53:00,Valide
PAY00021,CMD00021,508600.0,Especes a la livraison,2025-08-02 04:54:00,Valide
PAY00035,CMD00035,279200.0,Mobile Money,2025-11-27 19:10:00,Valide
PAY00239,CMD00239,40500.0,Especes a la livraison,2025-10-11 08:25:00,Valide
PAY00427,CMD00427,871200.0,Carte bancaire,2025-06-28 13:24:00,Valide
PAY00152,CMD00152,732000.0,Especes a la livraison,2025-08-23 13:57:00,Valide
PAY00120,CMD00120,923000.0,Carte bancaire,2025-09-01 04:45:00,Valide
PAY00635,CMD00635,259600.0,Virement,2026-01-13 00:29:00,Valide
PAY00166,CMD00166,119300.0,Virement,2025-07-24 00:09:00,Echoue
PAY00248,CMD00248,228800.0,Especes a la livraison,2025-01-29 19:05:00,Valide
PAY00709,CMD90009,36600.0,Mobile Money,2025-10-01 05:02:00,Valide
PAY00156,CMD00156,101800.0,Carte bancaire,2025-10-23 04:20:00,Valide
PAY00278,CMD00278,293500.0,Especes a la livraison,2025-05-18 11:30:00,Valide
PAY00303,CMD00303,25400.0,Mobile Money,2025-09-19 20:52:00,Valide
PAY00036,CMD00036,580900.0,Mobile Money,2025-08-05 03:19:00,Valide
PAY00568,CMD00568,1208500.0,Carte bancaire,2025-12-07 07:19:00,Echoue
PAY00401,CMD00401,101100.0,Carte bancaire,2025-11-11 04:39:00,Valide
PAY00611,CMD00611,150200.0,Especes a la livraison,2025-06-07 03:46:00,Echoue
PAY00184,CMD00184,110000.0,Virement,2025-09-29 08:33:00,Valide
PAY00016,CMD00016,157800.0,Virement,2026-01-18 17:08:00,Valide
PAY00305,CMD00305,144900.0,Carte bancaire,2025-10-31 20:05:00,Valide
PAY00117,CMD00117,413000.0,Especes a la livraison,2025-05-18 17:55:00,Valide
PAY00135,CMD00135,315600.0,Carte bancaire,2025-09-04 22:04:00,Valide
PAY00653,CMD00653,308600.0,Especes a la livraison,2025-11-17 22:07:00,Valide
PAY00573,CMD00573,444000.0,Carte bancaire,2025-09-18 20:59:00,Valide
PAY00259,CMD00259,1022400.0,Carte bancaire,2026-01-10 11:06:00,Valide
PAY00249,CMD00249,67800.0,Especes a la livraison,2025-09-08 01:21:00,Valide
PAY00224,CMD00224,289800.0,Carte bancaire,2025-10-28 08:00:00,Valide
PAY00202,CMD00202,966000.0,Mobile Money,2025-12-01 11:02:00,Valide
PAY00571,CMD00571,91800.0,Virement,2025-11-17 14:44:00,Valide
PAY00674,CMD00674,578900.0,Virement,2025-10-23 09:03:00,Echoue
PAY00017,CMD00017,1213000.0,Carte bancaire,2025-10-04 17:33:00,Echoue
PAY00403,CMD00403,55000.0,Carte bancaire,2025-09-29 18:37:00,Valide
PAY00393,CMD00393,242200.0,Virement,2026-01-19 07:54:00,Valide
PAY00619,CMD00619,170000.0,Virement,2025-10-02 21:58:00,Valide
PAY00515,CMD00515,65700.0,Especes a la livraison,2025-11-17 16:35:00,Valide
PAY00269,CMD00269,172300.0,Carte bancaire,2025-09-05 09:47:00,Valide
PAY00272,CMD00272,397800.0,Virement,2025-07-27 08:17:00,Valide
PAY00178,CMD00178,206000.0,Virement,2025-12-26 19:05:00,Valide
PAY00597,CMD00597,144900.0,Especes a la livraison,2025-06-14 04:16:00,Valide
PAY00606,CMD00606,40500.0,Virement,2025-04-20 18:04:00,Valide
PAY00262,CMD00262,643700.0,Virement,2025-10-26 19:49:00,Valide
PAY00431,CMD00431,1021800.0,Especes a la livraison,2025-06-06 13:26:00,Valide
PAY00311,CMD00311,338400.0,Virement,2025-10-26 20:35:00,Valide
PAY00192,CMD00192,220100.0,Carte bancaire,2025-11-28 20:02:00,Valide
PAY00524,CMD00524,214200.0,Mobile Money,2025-11-19 06:47:00,Valide
PAY00168,CMD00168,1632400.0,Mobile Money,2025-06-11 19:14:00,Valide
PAY00079,CMD00079,296600.0,Especes a la livraison,2025-11-02 22:00:00,Valide
PAY00198,CMD00198,128200.0,Especes a la livraison,2025-09-10 03:07:00,Valide
PAY00091,CMD00091,143600.0,Mobile Money,2025-03-23 14:54:00,Valide
PAY00396,CMD00396,873900.0,Especes a la livraison,2025-10-31 04:57:00,Valide
PAY00474,CMD00474,482300.0,Especes a la livraison,2025-09-22 18:39:00,Valide
PAY90010,CMD80010,55600.0,Carte bancaire,2025-08-03 08:28:00,Valide
PAY00461,CMD00461,220100.0,Virement,2025-06-04 08:09:00,Valide
PAY00513,CMD00513,64100.0,Mobile Money,2025-10-05 01:45:00,Rembourse
PAY00237,CMD00237,1066800.0,Mobile Money,2025-07-30 21:27:00,Rembourse
PAY00574,CMD00574,163600.0,Especes a la livraison,2025-08-08 15:10:00,Valide
PAY00308,CMD00308,1118200.0,Mobile Money,2025-06-10 03:58:00,Valide
PAY00067,CMD00067,702200.0,Carte bancaire,2025-10-09 12:13:00,Valide
PAY00271,CMD00271,244800.0,Especes a la livraison,2026-02-01 21:48:00,Echoue
PAY00634,CMD00634,157800.0,Especes a la livraison,2025-05-06 20:35:00,Valide
